ir_k3_e1 ir_k3_s2 ir_k3_e3 ir_k3_e6 ir_k5_e1 ir_k5_s2 ir_k5_e3 ir_k5_e6 skip
10.343313217163086 12.462854385375977 28.218984603881836 54.52251434326172 11.640310287475586 14.338970184326172 33.849477767944336 65.33527374267578 1.9063949584960938
5.7315826416015625 6.378412246704102 14.075279235839844 25.49886703491211 7.266759872436523 8.039712905883789 19.04129981994629 35.819292068481445 0.015497207641601562
5.636453628540039 6.382465362548828 13.997316360473633 26.768207550048828 7.229804992675781 8.021831512451172 18.9206600189209 35.74347496032715 0.015735626220703125
5.631208419799805 6.351709365844727 14.504194259643555 25.632619857788086 7.282257080078125 7.976531982421875 19.09637451171875 35.88151931762695 0.01811981201171875
5.602359771728516 6.341218948364258 14.099597930908203 25.717735290527344 7.228851318359375 8.01992416381836 19.149303436279297 35.59994697570801 0.0133514404296875
2.8228759765625 3.422975540161133 7.889032363891602 14.039039611816406 3.329038619995117 3.866910934448242 9.19795036315918 16.988039016723633 0.9038448333740234
2.951383590698242 3.1239986419677734 7.416963577270508 14.078617095947266 3.824472427368164 3.9620399475097656 10.053157806396484 19.426822662353516 0.013828277587890625
3.0260086059570312 3.125905990600586 7.425785064697266 14.087200164794922 3.808736801147461 3.9801597595214844 10.009765625 19.484519958496094 0.01239776611328125
2.995014190673828 3.1681060791015625 7.384300231933594 14.13416862487793 3.837108612060547 3.9904117584228516 10.04171371459961 19.15764808654785 0.014066696166992188
2.9532909393310547 3.11279296875 7.390737533569336 14.161348342895508 3.8344860076904297 3.9598941802978516 10.045766830444336 19.248247146606445 0.012636184692382812
2.9888153076171875 3.110647201538086 7.40361213684082 14.132022857666016 3.80706787109375 3.9856433868408203 10.013818740844727 19.47808265686035 0.013113021850585938
3.015279769897461 3.171682357788086 7.404088973999023 14.08243179321289 3.7965774536132812 3.9777755737304688 10.024309158325195 19.26589012145996 0.013113021850585938
2.954244613647461 3.1261444091796875 7.435321807861328 15.011310577392578 3.8089752197265625 3.955364227294922 10.009527206420898 20.414352416992188 0.012874603271484375
1.5442371368408203 1.6808509826660156 3.963947296142578 7.615089416503906 1.7926692962646484 1.981973648071289 6.994962692260742 9.16433334350586 0.4565715789794922
1.512765884399414 1.5482902526855469 3.749847412109375 7.203578948974609 1.9543170928955078 2.0041465759277344 4.984617233276367 9.82522964477539 0.01621246337890625
1.5342235565185547 1.5797615051269531 3.775358200073242 7.235288619995117 1.9843578338623047 2.0291805267333984 5.497217178344727 9.932518005371094 0.015735626220703125
1.5399456024169922 1.5752315521240234 3.7865638732910156 7.237434387207031 1.9907951354980469 2.017498016357422 5.040407180786133 9.872674942016602 0.015497207641601562
1.5079975128173828 1.554250717163086 3.7124156951904297 7.217168807983398 1.9793510437011719 2.022266387939453 5.07664680480957 9.958982467651367 0.01430511474609375
